 [*] Building advantage function...
 [*] Building policy function...
 [*] Building natural gradient...
 [*] Building summaries...
 [*] Model built finished
 [*] Reading checkpoints...
 [*] Failed to find a checkpoint
Global-step 85 --Accept update with alpha=1.0, kl=4.4045950914339826e-11, old=-0.02419753186404705, new=-0.024197818711400032
Global-step 87 --Accept update with alpha=1.0, kl=1.434941943045942e-08, old=-2.3044309616088867, new=-2.3044989109039307
Global-step 87 --Accept update with alpha=1.0, kl=2.5591007091207985e-09, old=-2.3044309616088867, new=-2.304457902908325
Global-step 88 --Accept update with alpha=1.0, kl=2.492703821133091e-09, old=-2.2442467212677, new=-2.2442498207092285
Global-step 88 --Accept update with alpha=1.0, kl=4.359687888477737e-10, old=-2.2442467212677, new=-2.2442519664764404
Global-step 89 --Accept update with alpha=1.0, kl=1.6786050327510793e-10, old=0.24707023799419403, new=0.24706780910491943
Global-step 93 --Accept update with alpha=0.00390625, kl=2.267161949170461e-14, old=-0.5406413078308105, new=-0.5406413674354553
Global-step 93 --Accept update with alpha=0.015625, kl=8.556305349568388e-14, old=-0.5406413078308105, new=-0.5406413674354553
Global-step 93 --Accept update with alpha=1.0, kl=2.155111866741777e-09, old=-0.5406413078308105, new=-0.5406414866447449
Global-step 93 --Accept update with alpha=1.0, kl=1.902733304248727e-09, old=-0.5406413078308105, new=-0.540642261505127
Global-step 93 --Accept update with alpha=0.00390625, kl=1.0706343140330903e-14, old=-0.5406413078308105, new=-0.5406413674354553
Global-step 96 --Accept update with alpha=1.0, kl=8.246541227663329e-10, old=0.5005995035171509, new=0.5005964040756226
Global-step 96 --Accept update with alpha=1.0, kl=2.442746227515613e-09, old=0.5005995035171509, new=0.50059574842453
Global-step 96 --Accept update with alpha=1.0, kl=8.904369463991202e-10, old=0.5005995035171509, new=0.5005964040756226
Global-step 97 --Accept update with alpha=0.001953125, kl=7.9731899539316935e-16, old=0.17464902997016907, new=0.17464901506900787
Global-step 97 --Accept update with alpha=0.00390625, kl=1.043641152773285e-14, old=0.17464902997016907, new=0.17464901506900787
Global-step 97 --Accept update with alpha=1.0, kl=2.0764362451686225e-10, old=0.17464902997016907, new=0.17464791238307953
Global-step 97 --Accept update with alpha=0.00390625, kl=4.159651325507307e-15, old=0.17464902997016907, new=0.17464901506900787
Global-step 97 --Accept update with alpha=1.0, kl=8.421083969034626e-11, old=0.17464902997016907, new=0.17464898526668549
Global-step 97 --Accept update with alpha=0.0078125, kl=7.393661658123326e-15, old=0.17464902997016907, new=0.17464901506900787
Global-step 97 --Accept update with alpha=1.0, kl=2.660909548257706e-10, old=0.17464902997016907, new=0.17464807629585266
Global-step 97 --Accept update with alpha=1.0, kl=2.245484631568928e-10, old=0.17464902997016907, new=0.1746482253074646
Global-step 97 --Accept update with alpha=1.0, kl=7.688250591719736e-10, old=0.17464902997016907, new=0.1746489256620407
Global-step 97 --Accept update with alpha=0.0078125, kl=1.3361779571511873e-14, old=0.17464902997016907, new=0.17464901506900787
Global-step 99 --Accept update with alpha=1.0, kl=1.4690050564869495e-10, old=-0.500176191329956, new=-0.5001764297485352
Global-step 99 --Accept update with alpha=1.0, kl=2.414682898077558e-10, old=-0.500176191329956, new=-0.5001764893531799
Global-step 100 --Accept update with alpha=1.0, kl=5.051880580531076e-10, old=-0.7611541748046875, new=-0.7611552476882935
Global-step 100 --Accept update with alpha=1.0, kl=2.0390029664696385e-09, old=-0.7611541748046875, new=-0.7611556649208069
Global-step 100 --Accept update with alpha=1.0, kl=1.5793555352416888e-09, old=-0.7611541748046875, new=-0.7611562609672546
Global-step 100 --Accept update with alpha=1.0, kl=5.350485610122746e-10, old=-0.7611541748046875, new=-0.7611555457115173
Global-step 101 --Accept update with alpha=1.0, kl=1.4272910110746384e-12, old=-0.10748493671417236, new=-0.10748495161533356
Global-step 102 --Accept update with alpha=1.0, kl=9.441459836168065e-10, old=0.36315664649009705, new=0.3631558418273926
Global-step 102 --Accept update with alpha=1.0, kl=1.699747675942831e-09, old=0.36315664649009705, new=0.3631542921066284
Global-step 106 --Accept update with alpha=1.0, kl=1.1002960764727732e-09, old=-0.06363983452320099, new=-0.06364139169454575
Global-step 106 --Accept update with alpha=0.00390625, kl=1.2176046947770785e-14, old=-0.06363983452320099, new=-0.06363984942436218
Global-step 107 --Accept update with alpha=1.0, kl=4.622645235485834e-07, old=0.34393149614334106, new=0.3437850773334503
Global-step 108 --Accept update with alpha=1.0, kl=1.961684842344269e-10, old=-0.22829553484916687, new=-0.22829607129096985
Global-step 108 --Accept update with alpha=1.0, kl=1.6601311991770729e-10, old=-0.22829553484916687, new=-0.22829610109329224
Global-step 108 --Accept update with alpha=1.0, kl=5.129398572556454e-10, old=-0.22829553484916687, new=-0.22829560935497284
Global-step 108 --Accept update with alpha=1.0, kl=1.2331106136187486e-09, old=-0.22829553484916687, new=-0.22829669713974
Global-step 109 --Accept update with alpha=1.0, kl=2.551014122165185e-10, old=-0.36922770738601685, new=-0.3692286014556885
Global-step 111 --Accept update with alpha=1.0, kl=1.1867011540100947e-10, old=0.41803792119026184, new=0.41803765296936035
Global-step 111 --Accept update with alpha=1.0, kl=2.363749473932586e-10, old=0.41803792119026184, new=0.4180378317832947
Global-step 111 --Accept update with alpha=1.0, kl=4.707081946442315e-11, old=0.41803792119026184, new=0.4180378317832947
Global-step 111 --Accept update with alpha=1.0, kl=2.4850682622812315e-10, old=0.41803792119026184, new=0.41803765296936035
Global-step 111 --Accept update with alpha=0.0625, kl=6.634077917002865e-14, old=0.41803792119026184, new=0.41803789138793945
Global-step 111 --Accept update with alpha=0.0625, kl=2.2241129565229306e-13, old=0.41803792119026184, new=0.41803789138793945
Global-step 111 --Accept update with alpha=0.0625, kl=1.147944993186087e-13, old=0.41803792119026184, new=0.41803789138793945
Global-step 111 --Accept update with alpha=0.015625, kl=1.2203803370419361e-14, old=0.41803792119026184, new=0.41803789138793945
Global-step 111 --Accept update with alpha=1.0, kl=5.5303667895190145e-11, old=0.41803792119026184, new=0.4180375635623932
Global-step 111 --Accept update with alpha=0.015625, kl=4.6063159390334965e-14, old=0.41803792119026184, new=0.41803789138793945
Global-step 112 --Accept update with alpha=1.0, kl=1.4771762979481906e-10, old=0.19171345233917236, new=0.19171278178691864
Global-step 112 --Accept update with alpha=1.0, kl=2.6925980542436e-11, old=0.19171345233917236, new=0.19171319901943207
Global-step 112 --Accept update with alpha=1.0, kl=7.499820903200671e-11, old=0.19171345233917236, new=0.1917128711938858
Global-step 112 --Accept update with alpha=1.0, kl=1.6352842691080838e-11, old=0.19171345233917236, new=0.19171318411827087
Global-step 115 --Accept update with alpha=1.0, kl=3.4486598021743475e-09, old=-2.142435073852539, new=-2.1424479484558105
Global-step 117 --Accept update with alpha=1.0, kl=2.6317163559497203e-08, old=0.45423057675361633, new=0.45422568917274475
Global-step 119 --Accept update with alpha=1.0, kl=1.3958820090920199e-06, old=1.3892860412597656, new=1.3874963521957397
Global-step 124 --Accept update with alpha=1.0, kl=2.209801452934812e-09, old=-1.9634140729904175, new=-1.9634169340133667
Global-step 129 --Accept update with alpha=1.0, kl=2.9937430312543256e-10, old=1.6375653743743896, new=1.637562870979309
Global-step 129 --Accept update with alpha=1.0, kl=5.5057580022888075e-11, old=1.6375653743743896, new=1.63756263256073
Global-step 129 --Accept update with alpha=1.0, kl=4.1945275031096685e-10, old=1.6375653743743896, new=1.6375572681427002
Global-step 129 --Accept update with alpha=1.0, kl=1.2690475059695672e-10, old=1.6375653743743896, new=1.637561559677124
Global-step 130 --Accept update with alpha=1.0, kl=1.5255695318128204e-10, old=1.3308535814285278, new=1.3308515548706055
Global-step 130 --Accept update with alpha=1.0, kl=6.331555280070233e-10, old=1.3308535814285278, new=1.3308501243591309
Global-step 131 --Accept update with alpha=1.0, kl=9.150642021893418e-09, old=0.18090057373046875, new=0.18089208006858826
Global-step 131 --Accept update with alpha=1.0, kl=9.681504209435587e-11, old=0.18090057373046875, new=0.18089959025382996
Global-step 131 --Accept update with alpha=1.0, kl=2.2598500848403091e-10, old=0.18090057373046875, new=0.18089936673641205
Global-step 131 --Accept update with alpha=0.00390625, kl=2.5454456030899733e-15, old=0.18090057373046875, new=0.18090055882930756
Global-step 132 --Accept update with alpha=0.0078125, kl=3.085603468696782e-14, old=1.9725297689437866, new=1.9725295305252075
Global-step 132 --Accept update with alpha=1.0, kl=1.630425572329841e-09, old=1.9725297689437866, new=1.9725146293640137
Global-step 132 --Accept update with alpha=1.0, kl=6.921387907254939e-10, old=1.9725297689437866, new=1.9725215435028076
Global-step 132 --Accept update with alpha=1.0, kl=1.2527386905603066e-09, old=1.9725297689437866, new=1.9725183248519897
Global-step 132 --Accept update with alpha=1.0, kl=1.9102654180702672e-10, old=1.9725297689437866, new=1.9725247621536255
Global-step 132 --Accept update with alpha=1.0, kl=1.6367817101681226e-09, old=1.9725297689437866, new=1.9725096225738525
Global-step 132 --Accept update with alpha=1.0, kl=4.825901012139866e-09, old=1.9725297689437866, new=1.972502589225769
Global-step 135 --Accept update with alpha=1.0, kl=6.995887757987873e-10, old=0.2698517143726349, new=0.26985087990760803
Global-step 135 --Accept update with alpha=1.0, kl=4.9934768125980966e-11, old=0.2698517143726349, new=0.2698511779308319
Global-step 136 --Accept update with alpha=1.0, kl=4.07578033823075e-11, old=0.0808156430721283, new=0.08081535995006561
Global-step 136 --Accept update with alpha=1.0, kl=5.332675967473222e-10, old=0.0808156430721283, new=0.0808146670460701
Global-step 136 --Accept update with alpha=1.0, kl=3.4671869542091116e-11, old=0.0808156430721283, new=0.08081545680761337
Global-step 138 --Accept update with alpha=1.0, kl=4.924979979392674e-09, old=-0.7434226870536804, new=-0.7434232831001282
Global-step 138 --Accept update with alpha=0.125, kl=1.5995596513995736e-10, old=-0.7434226870536804, new=-0.7434227466583252
Global-step 142 --Accept update with alpha=1.0, kl=6.347430914210861e-11, old=0.3163960874080658, new=0.316396027803421
Global-step 144 --Accept update with alpha=1.0, kl=1.5797913324733237e-11, old=0.11233080923557281, new=0.11233041435480118
Global-step 145 --Accept update with alpha=0.015625, kl=4.277260240870967e-14, old=-0.16813865303993225, new=-0.16813868284225464
Global-step 146 --Accept update with alpha=1.0, kl=6.889787584896112e-08, old=0.715666651725769, new=0.7155849933624268
Global-step 147 --Accept update with alpha=1.0, kl=1.8052962553680163e-12, old=-0.15120209753513336, new=-0.15120212733745575
Global-step 148 --Accept update with alpha=1.0, kl=5.921800549923972e-11, old=-0.3993489742279053, new=-0.3993490934371948
Global-step 148 --Accept update with alpha=0.015625, kl=1.1192498547440456e-14, old=-0.3993489742279053, new=-0.39934903383255005
Global-step 148 --Accept update with alpha=1.0, kl=2.8752009106902676e-10, old=-0.3993489742279053, new=-0.3993493318557739
Global-step 150 --Accept update with alpha=1.0, kl=1.0205800093920914e-10, old=0.400849312543869, new=0.40084904432296753
Global-step 150 --Accept update with alpha=1.0, kl=1.8912829635731043e-10, old=0.400849312543869, new=0.40084853768348694
Global-step 150 --Accept update with alpha=0.03125, kl=1.570846317605623e-13, old=0.400849312543869, new=0.40084928274154663
Global-step 150 --Accept update with alpha=1.0, kl=3.811000473530335e-11, old=0.400849312543869, new=0.40084922313690186
Global-step 150 --Accept update with alpha=1.0, kl=4.1216068752403245e-11, old=0.400849312543869, new=0.40084922313690186
Global-step 150 --Accept update with alpha=0.03125, kl=8.323910510247678e-15, old=0.400849312543869, new=0.40084928274154663
Global-step 150 --Accept update with alpha=1.0, kl=2.3476727506466233e-11, old=0.400849312543869, new=0.40084922313690186
Global-step 150 --Accept update with alpha=1.0, kl=2.4418977950801946e-10, old=0.400849312543869, new=0.4008488953113556
Global-step 150 --Accept update with alpha=1.0, kl=8.364087200618542e-11, old=0.400849312543869, new=0.40084904432296753
Global-step 150 --Accept update with alpha=1.0, kl=1.5749250861785136e-11, old=0.400849312543869, new=0.4008491635322571
Global-step 153 --Accept update with alpha=1.0, kl=1.6685945680716685e-10, old=0.13828952610492706, new=0.1382891684770584
Global-step 154 --Accept update with alpha=0.125, kl=5.533689961334867e-14, old=-0.0007111966260708869, new=-0.0007111990125849843
Global-step 154 --Accept update with alpha=1.0, kl=2.659178649846994e-12, old=-0.0007111966260708869, new=-0.0007112291059456766
Global-step 154 --Accept update with alpha=0.03125, kl=8.680330115991026e-15, old=-0.0007111966260708869, new=-0.0007111984305083752
Global-step 154 --Accept update with alpha=1.0, kl=3.941288267972354e-12, old=-0.0007111966260708869, new=-0.0007112116436474025
Global-step 154 --Accept update with alpha=1.0, kl=2.0806364443848313e-12, old=-0.0007111966260708869, new=-0.0007112056482583284
Global-step 154 --Accept update with alpha=1.0, kl=1.0159603193449218e-12, old=-0.0007111966260708869, new=-0.0007112038438208401
Global-step 154 --Accept update with alpha=1.0, kl=2.1736078648776358e-12, old=-0.0007111966260708869, new=-0.0007112032035365701
Global-step 154 --Accept update with alpha=0.00390625, kl=4.558641854267591e-16, old=-0.0007111966260708869, new=-0.000711197208147496
Global-step 156 --Accept update with alpha=1.0, kl=2.7081545894702685e-08, old=1.8544822931289673, new=1.8543827533721924
Global-step 156 --Accept update with alpha=1.0, kl=8.341185520066574e-08, old=1.8544822931289673, new=1.8542938232421875
Global-step 159 --Accept update with alpha=1.0, kl=7.1357919573245e-10, old=-1.0792431831359863, new=-1.0792447328567505
